Số báo danh; Toán; Văn; Lí; Hoá; Ngoại ngữ; Sử; Địa; Sinh; GDCD;
01003692;7.25;8.5;7.85;;7.5;;;;;;31.1
01003693;8.5;8;8.5;;7;;;;;;32
01003694;2.5;8;;;;7.75;8;;;;26.25
01003695;7.75;7.75;9;;6;;;;;;30.5
01003696;5.25;7.5;5.85;;8.5;;;;;;27.1
01003697;9;7.25;7.75;;6.5;;;;;;30.5
01003698;3.35;8;;;;7.25;;;;;26.1
01003699;6.25;9.5;4.35;;6;;;;;;26.1
01003700;4.95;8.5;6.25;;5.5;;;;;;25.2
01003701;9;7;7.25;;7.5;;;;;;30.75
01003702;7.5;6.75;8;;7.5;;;;;;29.75
01003703;8;8;6.75;;6.75;;;;;;29.5
01003704;6.5;7.75;7.6;;7.75;;;;;;29.6
01003705;5.6;9.25;5.25;;4.75;;;;;;24.85
01003706;3.1;8.5;;;;9;;;;;30.1
01003707;9;7.75;10;;6.75;;;;;;33.5
01003708;9;8.5;9.75;;7.75;;;;;;35
01003709;3.5;7.75;;;;5.75;;;;;25.5
01003710;3.5;8;;;;8.5;8.75;;;;28.75
01003711;4.85;7.75;5.5;;4;;;;;;22.1
01003712;8.5;8.25;9.5;;10;;;;;;36.25
01003713;4.5;7.5;6.5;;6;;;;;;24.5
01003714;6.75;8;7.5;;7.5;;;;;;29.75
01003715;7.25;8.75;8;;5;;;;;;29
01003716;6.25;8.5;9;;6.75;;;;;;30.5
01003717;7;9;8;;5.5;;;;;;29.5
01003718;7.25;8.75;9.25;;6.25;;;;;;31.5
01003719;5;8.5;6.25;;6.75;;;;;;26.5
01003720;5.5;9;7.5;;4.75;;;;;;26.75
01003721;7.5;8.25;5.5;;5.75;;;;;;27
01003722;5.5;9;;;;8.25;8;;;;30.75
01003723;9;8.25;9.25;;8.25;;;;;;34.75
01003724;3.5;8.5;;;;9;8.1;;;;29.1
01003725;8;6.5;9;;4.75;;;;;;28.25
01003726;5.85;7;9.75;;6.5;;;;;;29.1
01003727;4.75;5.75;;;;7;;;;;25.75
01003728;3.5;7.25;;;;7;;;;;26.75
01003729;6.5;5.5;7.25;;8.25;;;;;;27.5
01003730;6.5;7.25;6.75;;7.75;;;;;;28.25
01003731;7.1;8.75;9.5;;6.5;;;;;;31.85
01003732;7.5;8.25;6.75;;4.75;;;;;;27.25
01003733;6.75;8;8.75;;8.25;;;;;;31.75
01003734;3.25;5;;;;7.75;5.6;;;;21.6
01003735;8.5;9.5;7.75;;6.25;;;;;;32
01003736;5;8.75;;;;7.25;6.7;;;;27.7
01003737;5.35;8.75;;;;7.1;7.1;;;;28.3
01003738;4;8.5;;;;5.85;3.95;;;;22.3
01003739;4.5;8.25;4.75;;4.75;;;;;;22.25
01003740;5;6.5;;;;6.5;;;;;27
01003741;5;7.5;;;;5.85;;;;;25.85
01003742;9.5;8.5;9.5;;9.5;;;;;;37
01003743;7;8;5.1;;5.25;;;;;;25.35
01003744;7;8.75;7.75;;6.5;;;;;;30
01003745;9;7.25;7.75;;8.25;;;;;;32.25
01003746;6.1;5.75;7;;8.5;;;;;;27.35
01003747;6.5;7.5;7;;5.75;;;;;;26.75
01003748;6.1;7;4.1;;5.75;;;;;;22.95
01003749;5.75;8;6.25;;6.5;;;;;;26.5
01003750;8.5;8;5.1;;7;;;;;;28.6
01003751;6;7.5;5.6;;7.75;;;;;;26.85
01003752;2.1;7.25;;;;4.35;;;;;22.45
01003753;2.85;7.5;;;;4.1;4.2;;;;18.65
01003754;2.85;8.75;;;;;5.75;;;;25.35
01003755;5.75;8;5.1;;4.5;;;;;;23.35
01003756;5.75;8.25;8;;9.5;;;;;;31.5
01003757;5.75;8;7;;6;;;;;;26.75
01003758;2.2;9;;;;;4.35;;;;23.3
01003759;3.5;4.75;;;;;4.6;;;;19.2
01003760;8.5;6.75;8.75;;8;;;;;;32
01003761;4.25;6.5;;;;7;;;;;26.5
01003762;6.5;9;6.75;;6.5;;;;;;28.75
01003763;5.5;6.75;6.25;;5.75;;;;;;24.25
01003764;3.75;5.5;;;;;5;;;;21.35
01003765;7.25;7.5;7.75;;7.25;;;;;;29.75
01003766;2.1;6.25;;;;;5.25;;;;20.35
01003767;7.25;8.75;6.75;;8.75;;;;;;31.5
01003768;5.75;7.25;6.75;;5;;;;;;24.75
01003769;9;8.25;6.25;;8.5;;;;;;32
01003770;7.5;9;8.5;;5.25;;;;;;30.25
01003771;6.25;7.75;6.75;;5.25;;;;;;26
01003772;4.75;8.25;;;;8.25;8;;;;29.25
01003773;5.5;7.5;5.5;;4.25;;;;;;22.75
01003774;9;8;7.5;;5.25;;;;;;29.75
01003775;4.75;9;5.1;;5.25;;;;;;24.1
01003776;5.75;8.25;;;;8.75;;;;;32.25
01003777;2.85;6.5;;;;;3.1;;;;20.7
01003778;5.25;7;8.25;;6.5;;;;;;27
01003779;6.25;7;8.25;;7.25;;;;;;28.75
01003780;8.5;8.25;8.75;;7.25;;;;;;32.75
01003781;3.25;7;;;;;7.25;;;;26.75
01003782;2.2;6.25;;;;;4.25;;;;19.95
01003783;3.75;5.5;;;;;4.95;;;;21.2
01003784;5.6;8.5;;;;9.25;8.5;;;;31.85
01003785;5.75;8;6;;4.75;;;;;;24.5
01003786;7.25;8.5;6.45;;5.25;;;;;;27.45
01003787;5.25;8;6.85;;3.75;;;;;;23.85
01003788;6.25;8;6.5;;6.25;;;;;;27
01003789;6.25;7.5;8.25;;8.75;;;;;;30.75
01003790;5.1;8;;;;9;8.75;;;;30.85
01003791;7.25;7.75;8;;7.25;;;;;;30.25
01003792;5.5;7.75;7.25;;6;;;;;;26.5
01003793;5;7.25;6.75;;9.25;;;;;;28.25
01003794;5.75;8.5;5.35;;5.75;;;;;;25.35
01003795;6.25;8;6.25;;8.75;;;;;;29.25
01003796;4.5;8.75;6.75;;5.75;;;;;;25.75
01003797;7.75;8.25;8;;9;;;;;;33
01003798;5.1;7.25;5.35;;4;;;;;;21.7
01003799;7.5;8.25;8;;9.5;;;;;;33.25
01003800;6.5;7.75;7;;7.5;;;;;;28.75
01003801;6.75;9;9.25;;7.75;;;;;;32.75
01003802;5.75;9.25;5;;7.25;;;;;;27.25
01003803;3.25;8.5;6.75;;6.25;;;;;;24.75
01003804;6.25;9;9;;7;;;;;;31.25
01003805;6.75;7.25;5.85;;8.5;;;;;;28.35
01003806;8;9;9.5;;8.25;;;;;;34.75
01003807;2.85;8.5;;;;5.35;6.75;;;;23.45
01003808;8.1;5.25;4.6;;6.75;;;;;;24.7
01003809;7;6;7.25;;5.75;;;;;;26
01003810;5.35;7.25;;;;8.25;9.25;;;;30.1
01003811;9;6.5;8;;5.5;;;;;;29
01003812;5.35;8.75;;;;8.75;6.5;;;;29.35
01003813;4.5;8;;;;7.6;;;;;28.85
01003814;5.75;8.5;6.75;;3.25;;;;;;24.25
01003815;5.25;6.5;;;;8;6.75;;;;26.5
01003816;8;8;8;;5.25;;;;;;29.25
01003817;3.6;8;;;;5.25;5;;;;21.85
01003818;5.85;8.5;8.25;;7;;;;;;29.6
01003819;4;8;;;;7;4.75;;;;23.75
01003820;7.5;9;6.6;;6.75;;;;;;29.85
01003821;6.75;9;6;;6.5;;;;;;28.25
01003822;7;8.75;9.25;;6.75;;;;;;31.75
01003823;6.25;8;6.75;;7.25;;;;;;28.25
01003824;4;9.5;;;;5.75;;;;;25.75
01003825;3.6;8.75;;;;8;7.75;;;;28.1
01003826;2.85;7.25;;;;4.5;;;;;21.1
01003827;8;8.25;9.75;;9;;;;;;35
01003828;7;7.75;;;;4.1;;;;;26.6
01003829;5.5;8.75;4.25;;7.25;;;;;;25.75
01003830;9;8;10;;5.25;;;;;;32.25
01003831;6.25;7.75;6.2;;7.25;;;;;;27.45
01003832;2.6;8;;;;4.6;6.25;;;;21.45
01003833;6.5;8;7.6;;5.75;;;;;;27.85
01003834;7.5;6.25;7;;5.75;;;;;;26.5
01003835;5.25;7.75;;;;5.75;6.25;;;;25
01003836;2.2;8.5;;;;6.25;7.35;;;;24.3
01003837;3.25;7.5;;;;5.75;5.6;;;;22.1
01003838;4.35;8.25;;;;6.1;5.1;;;;23.8
01003839;5.25;8.75;;;;8.25;9;;;;31.25
01003840;3.5;8.25;;;;5.5;7.6;;;;24.85
01003841;4.75;8;;;;6.5;6.75;;;;26
01003842;6.25;7.5;;;;7.75;7.35;;;;28.85
01003843;4.35;8;;;;2.75;;;;;23.35
01003844;2.85;7.5;;;;5.45;;;;;23.15
01003845;2.6;7;6.75;;;;2.75;;;;19.1
01003846;4.25;6;;;;6.75;7.5;;;;24.5
01003847;5.25;8;;;;7;7.25;;;;27.5
01003848;2.35;8;;;;6.75;;;;;26.1
01003849;3.25;8.75;;;;5;5.35;;;;22.35
01003850;6.5;8;;;6.25;;;;;;28.25
01003851;7.5;9.25;;;7.25;;;;;;32.5
01003852;2.1;8.25;;;;4.75;;;;;22.85
01003853;6.5;9;;;6;;;;;;30.25
01003854;5;8.75;;;;8.25;7;;;;29
01003855;6;9;;;5.75;;;;;;29.5
01003856;5.25;8.25;;;;9.25;9.25;;;;32
01003857;5.5;7.75;6;;;;7.1;;;;26.35
01003858;3.25;7.25;;;;7.1;7.25;;;;24.85
01003859;4.75;7.25;;;;8.25;8.25;;;;28.5
01003860;4.75;7;;;;6.5;7.75;;;;26
01003861;4.75;7;;;;6.75;7.5;;;;26
01003862;6;8;;;;6.6;;;;;28.1
01003863;4.75;7;;;;;7.25;;;;27
01003864;7;7.75;;;;6.75;;;;;30.25
01003865;3.1;7.25;;;;6.5;;;;;24.85
01003866;4.6;8.25;;;;5.5;7.25;;;;25.6
01003867;4.5;5.5;;;;2.5;4.25;;;;16.75
01003868;3.25;8.5;;;;7.1;;;;;27.1
01003869;5.25;7.25;;;;5;3.6;;;;21.1
01003870;3.5;8.25;;;;6.75;;;;;26.75
01003871;5;8.25;;;;6.25;5.6;;;;25.1
01003872;5.25;8;4.35;;;;;;;;25.35
01003873;5.1;9.25;;;;8.35;;;;;29.7
01003874;2.7;7.75;;;;3.85;;;;;19.8
01003875;3.5;7.75;;;;7.35;7;;;;25.6
01003876;2.75;4;;;;5.25;;;;;17.1
01003877;1.75;7.25;;;;;5.75;;;;22.25
01003878;4.25;8.25;;;;8;6.75;;;;27.25
01003879;3.75;5.75;;;;5;;;;;22.25
01003880;5.5;9;;;;9;;;;;32
01003881;4;9.5;;;;8.75;7.35;;;;29.6
01003882;5.75;8.75;;;5.25;;;;;;28.25
01003883;4.25;8;;;;;7.25;;;;28
01003884;5.5;9;;;7.25;;;;;;30.75
01003885;3.75;9.5;;;;;8.25;;;;30.25
01003886;4.75;6.5;;;;;7.35;;;;26.6
01003887;5.5;8.75;;;;6.25;6.6;;;;27.1
01003888;4.1;8.5;;;4;;;;;;24.6
01003889;3.75;7.75;;;;4.2;;;;;23.7
01003890;4.35;8.75;;;;5.6;7.35;;;;26.05
01003891;3.75;8.5;;;;7.75;;;;;28.25
01003892;4.5;9;;;;8.25;8.5;;;;30.25
01003893;4.35;8.5;;;;;7.25;;;;29.1
01003894;5.5;9.25;;;6.25;;;;;;29.5
01003895;5.1;9;;;6.25;;;;;;28.6
01003896;7;9.5;;;8.5;;;;;;33
01003897;5.5;8.75;;;5.75;;;;;;27
01003898;4.25;7.75;;;5.25;;;;;;25.5
01003899;8.5;9.25;;;7.5;;;;;;34.5
01003900;2.6;6.5;;;;5.25;;;;;22.85
01003901;3.85;6.5;;;;;8.5;;;;27.1
01003902;4.75;7.5;;;;;7.35;;;;28.1
01003903;6.5;9;;;7.5;;;;;;32.5
01003904;6;8.75;;;7.5;;;;;;31
01003905;6.75;8.5;;;7.5;;;;;;31.75
01003906;5;7.25;;;;5.85;;;;;24.1
01003907;2.35;5.75;;;;4.5;;;;;18.2
01003908;4.75;7.25;;;;7.25;6.75;;;;26
01003909;3.75;8.25;;;;5.6;6.85;;;;24.45
01003910;5.35;7.75;;;;5.5;6.35;;;;24.95
01003911;7.25;9.25;;;9;;;;;;34
01003912;7.75;8.5;;;5.5;;;;;;29.75
01003913;5.75;9;;;6.75;;;;;;30.75
01003914;;4.25;;;9;;;3.75;;;17
01003915;4;7.5;;;3.75;;;;;;22.25
01003916;5;8;;;;8.75;9;;;;30.75
01003917;5.25;7.5;;;4.75;;;;;;26.25
01003918;5.75;8.25;;;7.5;;;;;;29.25
01003919;4.25;8.5;;;;6.25;;;;;25.1
01003920;6.5;8.75;;;8.75;;;;;;32
01003921;6.25;8.75;;;6.25;;;;;;28
01003922;6.25;8.25;;;8;;;;;;31
01003923;3.6;7.25;;;7.75;;;;;;24.85
01003924;5;8;;;5.5;;;;;;26.5
01003925;6;9.25;;;6.75;;;;;;31
01003926;3.2;9.25;;;;6.35;;;;;26.8
01003927;4.5;8.5;;;5.5;;;;;;25.1
01003928;6.75;9;;;6.25;;;;;;31
01003929;3.25;9;;;;7;;;;;27.75
01003930;4;8;;;4.75;;;;;;25.25
01003931;3;8;;;;;8;;;;27.25
01003932;5;7.5;;;;4.75;5.25;;;;22.5
01003933;5.1;8.5;;;5.75;;;;;;25.85
01003934;5.5;9;;;6.75;;;;;;29.75
01003935;5;7.75;;;;7.25;7;;;;27
01003936;6;9;;;5.75;;;;;;29.75
01003937;4.6;7.75;;;;6;;;;;26.35
01003938;4.75;8;;;5.5;;;;;;27
01003939;4.25;7.5;;;5.75;;;;;;24
01003940;3.1;7.75;;;;;6.25;;;;26.35
01003941;7.5;9.5;;;8.75;;;;;;33.25
01003942;4.25;8.25;;;;8.25;7.75;;;;28.5
01003943;5.5;7.5;;;;9;10;;;;32
01003944;4.75;6.5;;;;;6;;;;24.25
01003945;6.25;7.5;;;;4.5;;;;;25.75
01003946;4.75;8.75;;;7.25;;;;;;29.75
01003947;3.7;7.5;;;;;6.1;;;;24.8
01003948;7.5;8.5;;;6.25;;;;;;31.25
01003949;5.75;9;;;7.25;;;;;;30.25
01003950;5.25;8.5;;;5.75;;;;;;27.5
01003951;6;9.25;;;6.25;;;;;;29.25
01003952;4.5;8.75;;;6.25;;;;;;28.25
01003953;5;8;;;;7.25;;;;;28.25
01003954;4.75;8.5;;;;7.25;7.25;;;;27.75
01003955;4.1;5.5;;;;5.35;;;;;21.7
01003956;3.85;8;;;;7.25;;;;;27.1
01003957;7.1;8.5;;;6.25;;;;;;30.85
01003958;4.1;7.75;;;;;4.6;;;;24.45
01003959;3.35;8.5;;;;6.75;3.85;;;;22.45
01003960;6;8.75;;;7.25;;;;;;30.25
01003961;4.35;8.5;;;;8.1;;;;;29.7
01003962;7.1;9.25;;;7.5;;;;;;32.7
01003963;6;8.25;;;;8;;;;;31
01003964;7;8.75;;;9.5;;;;;;34.75
01003965;5;7.75;;;;7.5;;;;;29.25
01003966;6.6;8.75;;;9.25;;;;;;34.35
01003967;5.5;9;;;;8;6.5;;;;29
01003968;5.25;7.5;;;9.75;;;;;;31.25
01003969;3.6;6.5;;;;8.5;8.75;;;;27.35
01003970;5.25;8.5;;;;7.5;5.75;;;;27
01003971;7.25;8.75;;;7.25;;;;;;31
01003972;2.5;8;;;;6;;;;;24.25
01003973;5.25;9.25;;;4;;;;;;25.5
01003974;2.45;7.5;;;;5;;;;;19.7
01003975;6.1;8.5;;;4.25;;;;;;27.85
01003976;7.35;9;;;;8.5;8.75;;;;33.6
01003977;5.75;7.75;;;;7.25;8.75;;;;29.5
01003978;6;8.75;;;6;;;;;;28.25
01003979;4.85;8.25;;;7;;;;;;28.85
01003980;4.35;9;;;5.25;;;;;;28.1
01003981;3.75;8.5;;;;7;;;;;27.5
01003982;4.75;8.5;;;5.25;;;;;;28
01003983;4;7;;;;;8;;;;26.5
01003984;2.25;7.75;;;;5.5;;;;;21.5
01003985;5;8.5;;;7.25;;;;;;29.75
01003986;4.75;9;;;;7;7.75;;;;28.5
01003987;3.25;8.25;;;;7;6.35;;;;24.85
01003988;6.6;9;;;7;;;;;;32.1
01003989;4.2;7.75;;;;7.25;7.25;;;;26.45
01003990;8;8.25;;;9;;;;;;34.75
01003991;6;8.5;;;;8.75;;;;;31.75
01003992;5.25;8.5;;;5.25;;;;;;28
01003993;7.25;8.08;;;5.25;;;;;;29.58
01003994;3.6;9.5;;;;9.75;8.6;;;;31.45
01003995;5.75;8.75;;;5;;;;;;27.25
01003996;6.75;9;;;6;;;;;;30.25
01003997;4.5;7.5;;;;;5;;;;24.25
01003998;4;8;;;;5.85;5.6;;;;23.45
01003999;4.5;7;;;;5.35;5.85;;;;22.7
01004000;2.6;8.5;;;;4;5.45;;;;20.55
01004001;5.1;8;;;;;6.35;;;;27.95
01004002;5.75;8.75;;;4.75;;;;;;27.75
01004003;6.75;8.25;;;6.5;;;;;;29.25
01004004;4.75;9.25;;;;8.75;9.25;;;;32
01004005;5.5;8.25;;;5.75;;;;;;27.75
01004006;6.75;8.25;;;9.5;;;;;;34
01004007;3.25;8;;;5;;;;;;24.5
01004008;2.95;8;;;;8;8.5;;;;27.45
01004009;6.25;8.5;;;7.25;;;;;;28.75
01004010;3.2;8;;;3.75;;;;;;23.7
01004011;7;7.5;;;5.75;;;;;;28.75
01004012;4.6;8.5;;;;;6;;;;25.85
01004013;5.75;9.5;;;5.75;;;;;;29.25
01004014;4.85;8.25;;;;8;;;;;29.1
01004015;5;9;;;7.5;;;;;;29.75
01004016;5.25;9;;;6.75;;;;;;30.75
01004017;3.35;8;;;;7.5;8.25;;;;27.1
01004018;4.95;8.25;;;7.25;;;;;;27.45
01004019;3.25;7.75;;;;7.25;5.1;;;;23.35
01004020;3.25;5.25;;;;5.25;5.1;;;;18.85
01004021;2.85;8.25;;;;6;4.85;;;;21.95
01004022;2.5;7.5;;;2.5;;;;;;20.5
01004023;4.85;9.25;;;4.25;;;;;;27.1
01004024;6;9;;;6.25;;;;;;29.75
01004025;4.25;6.5;;;8;;;;;;26.75
01004026;5.25;9;;;;;9.25;;;;33
01004027;5.25;9;;;5.5;;;;;;27
01004028;5.6;9.5;;;;7.5;;;;;31.35
01004029;5.5;8.75;;;6.75;;;;;;28.5
01004030;5.25;8.5;;;6.5;;;;;;27
01004031;4;8;;;;;6;;;;27
01004032;5.75;9;;;6.5;;;;;;29
01004033;5.75;9.25;;;8;;;;;;32.5
01004034;7.75;8.25;;;7.5;;;;;;31.75
01004035;3.25;8.75;;;;;5.35;;;;26.6
01004037;2.5;8.75;;;;6;4.5;;;;21.75
01004038;2.85;8.5;;;;6.75;6.5;;;;24.6
01004039;6;8.75;;;;9.25;;;;;33.25
01004040;5.5;9.25;;;5;;;;;;28
01004041;4.6;9;;;5.25;;;;;;26.2
01004042;6.35;8.75;;;6.75;;;;;;30.35
01004043;3.75;7.25;;;;5.5;;;;;25
01004044;9;9.75;;;7;;;;;;34.25
01004045;3.2;6.75;;;;7.25;;;;;25.2
01004046;6.75;9;;;8;;;;;;31.25
01004047;6.1;9;;;8;;;;;;31.35
01004048;6.25;8.75;;;5;;;;;;28.5
01004049;5.75;9;;;7.5;;;;;;31.25
01004050;5.35;9.25;;;7.25;;;;;;31.1
01004051;6.25;8.75;;;;;8.25;;;;30.25
01004052;5;7.5;;;;7.75;8;;;;28.25
01004053;6.35;9;;;7;;;;;;29.85
01004054;6;8.75;;;6.75;;;;;;31
01004055;5.75;8.5;;;6;;;;;;28
01004056;3.75;8.75;;;6;;;;;;26.75
01004057;6.1;8.75;;;6.75;;;;;;30.85
01004058;4.6;8.25;;;;8.25;7.75;;;;28.85
01004059;8.5;9.25;;;7.75;;;;;;34.75
01004060;6.75;8.25;;;;8.5;8.75;;;;32.25
01004061;3.35;8.5;;;;;6.75;;;;27.85
01004062;4.1;9;;;;;5.75;;;;25.6
01004063;5.25;9;;;6.25;;;;;;28.5
01004064;6.75;9.25;;;7;;;;;;33
01004065;2.5;7.5;;;;;6.5;;;;24.25
01004066;7;9;;;7.25;;;;;;31
01004067;4;8.75;;;;;8.25;;;;28.5
01004068;5.5;8.75;;;6.5;;;;;;30
01004069;4.2;7.75;;;;;6.75;;;;27.7
01004070;4;7.5;;;3.5;;;;;;22.75
01004071;2.6;7;;;;;3.2;;;;20.55
01004072;4.5;7;;;;5.25;6.5;;;;23.25
01004073;6.75;8.5;;;7.25;;;;;;30.5
01004074;7.5;8.75;;;8.5;;;;;;34.25
01004075;2.95;7.25;;;;;5.25;;;;22.45
01004076;2.35;6.25;;;;;5.35;;;;22.2
01004077;4.5;8.25;;;;;7;;;;28.5
01004078;3.5;6.5;;;;6.35;;;;;24.6
01004079;8;8.5;;;7.75;;;;;;33.25
01004080;5;7.75;;;;5;7.75;;;;25.5
01004081;2.1;8;;;;;6.35;;;;25.2
01004082;4.35;8.25;;;;7.5;6.25;;;;26.35
01004083;8;9;;;7.25;;;;;;33.75
01004084;5.75;9.25;;;6.25;;;;;;30.5
01004085;6.25;9.25;;;7.5;;;;;;30.6
01004086;7.25;8.5;;;8.25;;;;;;33.25
01004087;7;8.5;;;6.5;;;;;;30.25
01004088;4.75;8;;;;5;;;;;25.75
01004089;1.5;6.25;;;;;4.6;;;;19.85
01004090;2.75;7.75;;;;;6;;;;24.75
01004091;1.8;7.5;;;;;2.05;;;;13.05
01004092;3.6;7.5;;;;;5.95;;;;24.55
01004093;3.35;6.75;;;;;5.25;;;;23.85
01004094;3.85;6.25;;;;6;;;;;23.35
01004095;3.75;7.5;;;;;6;;;;25.25
01004096;6;9;;;;9;10;;;;34
01004097;3.75;7.75;;;;5.75;5.75;;;;23
01004098;3.75;9;;;;;5.6;;;;26.1
01004099;4;8.25;;;;6.1;;;;;26.1
01004100;5.75;7.5;;;;6;;;;;25.35
01004101;2.85;7.25;;;;5.35;;;;;21.7
01004102;3;8.25;;;;;7;;;;25.5
01004103;2.1;6.5;;;;;5.1;;;;20.45
01004104;4.1;7.5;;;;6.75;7.25;;;;25.6
01004105;3.5;6.5;;;;;5;;;;23
01004106;3.35;8;;;;;6.85;;;;25.7
01004107;6;9;;;7.5;;;;;;31.25
01004108;8;9.25;;;8.75;;;;;;34.5
01004109;6;8.75;;;8;;;;;;32
01004110;5.35;8.75;;;7;;;;;;29.6
01004111;5.25;9;;;;8;6.85;;;;29.1
01004112;3.75;8.25;;;;7.25;6.6;;;;25.85
01004113;3.75;7.75;;;;6.5;7.5;;;;25.5
01004114;1.95;7;;;;;5.1;;;;21.55
01004115;6.25;9;;;5;;;;;;29.5
01004116;7;9.25;;;6.5;;;;;;31.75
01004117;3.6;8;;;;6;;;;;26.6
01004118;6.75;8.75;;;6.5;;;;;;30.5
01004119;3.1;8;;;;4.85;3.45;;;;19.4
01004120;4.6;8.75;;;4.75;;;;;;26.85
01004121;5.25;8.5;;;6.5;;;;;;27.75
01004122;5;8.5;;;5.75;;;;;;28.25
01004123;8.25;9.5;;;9.25;;;;;;35.5
01004124;4.1;7.5;;;;7.25;;;;;27.6
01004125;5.5;8.75;;;4.5;;;;;;27.5
01004126;4.25;8.75;;;7.75;;;;;;28
01004127;7.25;9.5;;;5.25;;;;;;31.25
01004128;7.25;9;;;6;;;;;;31
01004129;6.5;9;;;6.75;;;;;;31.25
01004130;5.1;8.5;;;7;;;;;;28.6
01004131;5.25;7.5;;;7;;;;;;28.5
01004132;4.75;9.25;;;5.5;;;;;;27.75
01004133;8;9.5;;;8.25;;;;;;35.25
01004134;5.35;8;;;8.25;;;;;;30.85
01004135;6.25;8.5;;;6.75;;;;;;29.5
01004136;7;9;;;6.5;;;;;;31.75
01004137;3.1;7.5;;;;3.35;;;;;20.2
01004138;3.5;8.25;;;;6.5;;;;;26
01004139;4.6;7.5;;;5.75;;;;;;25.1
01004140;6.25;8.25;;;6;;;;;;30.5
01004141;4.6;8.5;;;6.75;;;;;;27.35
01004142;5.1;8.25;;;5.75;;;;;;28.35
01004143;5.75;8.5;;;6.25;;;;;;29.5
01004144;5.25;8.75;;;5;;;;;;27
01004145;7.5;8.75;;;6.5;;;;;;31.25
01004146;6;9;;;4.5;;;;;;28.25
01004147;7;8.5;;;8.25;;;;;;32.25
01004148;6.25;9;;;8.25;;;;;;31.5
01004149;5;9.5;;;6;;;;;;30
01004150;4.75;8.75;;;7.5;;;;;;28.75
01004151;6;9.25;;;7;;;;;;30.25
01004152;4.35;7.75;;;7;;;;;;27.35
01004153;8.5;8;;;7.5;;;;;;32.5
01004154;4.25;8;;;4.75;;;;;;26
01004155;5;8;;;6.25;;;;;;28.25
01004156;7.5;8.75;;;5.75;;;;;;31.25
01004157;5.5;8;;;5.75;;;;;;27.25
01004158;6.75;8.25;;;6.5;;;;;;30.25
01004159;5.5;7.5;;;5;;;;;;24.85
01004160;5.75;7.75;;;7.75;;;;;;29.5
01004161;5.85;9;;;6;;;;;;28.85
01004162;5;8.25;;;7;;;;;;29
01004163;5.25;7.75;;;;;7.1;;;;29.35
01004164;7;8.5;;;6.25;;;;;;30.75
01004165;4.1;7.75;;;7;;;;;;26.35
01004166;5;7.25;;;;5;;;;;24.5
01004167;4.75;8;;;5.75;;;;;;25.25
01004168;5.75;8;;;7.25;;;;;;28
01004169;5.35;7;;;4.75;;;;;;25.35
01004170;3.85;7.75;;;;;6.75;;;;26.85
01004171;6.1;8.75;;;5.75;;;;;;28.1
01004172;4.6;7.5;;;;;6.6;;;;26.7
01004173;3.5;7;;;;;6;;;;24.1
01004174;4.6;9;;;6;;;;;;26.35
01004175;3.85;8.5;;;;4.5;;;;;24.35
01004176;4.75;7.75;;;4.25;;;;;;24.25
01004177;5;7.75;;;6.25;;;;;;28
01004178;2.6;8.25;;;;;7.25;;;;25.1
01004179;6.5;9;;;8.25;;;;;;32.25
01004180;6.25;8.75;;;6.75;;;;;;31.5
01004181;6.35;9.25;;;5.5;;;;;;28.85
01004182;4.1;9.5;;;5.5;;;;;;27.85
01004183;4.25;9;;;6.75;;;;;;29.5
01004184;6.5;8;;;5.25;;;;;;27.5
01004185;6.1;8.5;;;5.5;;;;;;28.6
01004186;7.5;9;;;6.75;;;;;;33
01004187;5.35;9.25;;;7.25;;;;;;30.6
01004188;7.5;9.75;;;7.75;;;;;;34
01004189;4.6;8.5;;;;7;;;;;27.1
01004190;4.85;9.25;;;6.5;;;;;;30.6
01004191;6;9;;;7;;;;;;29.5
01004192;5.5;8.5;;;7.75;;;;;;30.5
01004193;5.75;8;;;;6.75;;;;;27
01004194;7;8.75;;;7.5;;;;;;31
01004195;4;6.75;;;;;4.75;;;;22.75
01004196;2.75;9;;;;4.95;;;;;22.95
01004197;5.5;7.75;;;4;;;;;;25.75
01004198;4.35;8.75;;;8;;;;;;27.85
01004199;6.25;8.75;;;6;;;;;;28.25
01004200;7.75;9;;;6;;;;;;31
01004201;7.35;9.5;;;7.5;;;;;;33.35
01004202;3.5;7.25;;;3.5;;;;;;22.25
01004203;7.75;8.75;;;9;;;;;;34
01004204;5.1;8.75;;;6.5;;;;;;28.85
01004205;3.7;7.5;;;6.75;;;;;;25.95
01004206;7.5;9;;;5.75;;;;;;30
01004207;4;6.75;;;4.75;;;;;;23.5
01004208;6.75;7.5;;;8.75;;;;;;31.25
01004209;5.85;8;;;6.75;;;;;;29.1
01004210;5.25;8.25;;;7.25;;;;;;29.5
01004211;7;8.5;;;7.75;;;;;;32.5
01004212;7.5;9;;;9;;;;;;35
01004213;5;8;;;;;8.25;;;;29
01004214;4.35;8.5;;;7.5;;;;;;28.35
01004215;7.5;9;;;7.75;;;;;;33
01004216;6.5;9;;;6;;;;;;29.5
01004217;6.75;8.25;;;;;9.25;;;;34
01004218;3.75;6.75;;;;;6.35;;;;23.2
01004219;6.25;7.75;;;7.5;;;;;;29.25
01004220;6.75;9;;;7.5;;;;;;31.75
01004221;6;8.75;;;5.75;;;;;;29
01004222;7.25;9.25;;;8.5;;;;;;33
01004223;3.6;7.5;;;;;6.5;;;;26.35
01004224;6.6;9;;;9;;;;;;33.6
